,delta_test_loss_at_h0,delta_test_loss_at_h1,delta_test_loss_at_h2,delta_test_loss_at_h3,delta_test_loss_at_h4,delta_test_loss_at_h5,delta_test_loss_at_h6,delta_test_loss_at_h7,delta_test_loss_at_h8,delta_test_loss_at_h9,delta_test_loss_at_h10,delta_test_loss_at_h11,delta_test_loss_at_h12,delta_test_loss_at_h13,delta_test_loss_at_h14,delta_test_loss_at_h15,delta_test_loss_at_h16,delta_test_loss_at_h17,delta_test_loss_at_h18,delta_test_loss_at_h19,delta_test_loss_at_h20,delta_test_loss_at_h21,delta_test_loss_at_h22,delta_test_loss_at_h23,delta_test_loss_at_h24,delta_test_loss_at_h25,delta_test_loss_at_h26,delta_test_loss_at_h27,delta_test_loss_at_h28,delta_test_loss_at_h29,delta_test_loss_at_h30,delta_test_loss_at_h31,delta_test_loss_at_h32,delta_test_loss_at_h33,delta_test_loss_at_h34,delta_test_loss_at_h35,delta_test_loss_at_h36,delta_test_loss_at_h37,delta_test_loss_at_h38,delta_test_loss_at_h39,delta_test_loss_at_h40,delta_test_loss_at_h41,delta_test_loss_at_h42,delta_test_loss_at_h43,delta_test_loss_at_h44,delta_test_loss_at_h45,delta_test_loss_at_h46,delta_test_loss_at_h47,delta_test_loss_at_h48,delta_test_loss_at_h49
input_weight_grads_mean_pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input_weight_grads_var_pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output_weight_grads_mean_pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output_weight_grads_var_pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre_activation_grad_mean_pct,0.09027103460456577,0.10619300687995753,0.10903980373863978,0.10732738723238228,0.10375561783541111,0.09869539973859792,0.09231233657366597,0.08639156643396814,0.08274892001919922,0.07944218326197616,0.07691489878263812,0.0761565707310957,0.07580972826831965,0.07602160401488862,0.0758950849008126,0.07590112387472994,0.07598134998990061,0.07601587830186612,0.0759005460824128,0.07597892395830383,0.07599791452988486,0.0760928325810239,0.07606500109085493,0.07600352538057925,0.07615129054467921,0.07621359117531133,0.07625068126526138,0.07622341364470313,0.07617675865543039,0.07616237301900362,0.07629575254667682,0.07632549492830437,0.07636263722840357,0.0763090000018523,0.07631585693477286,0.07629627812884483,0.07637811927796227,0.0763654600571338,0.07637859264998116,0.07638536952733972,0.0764305626324365,0.07640951846165592,0.0763924144167972,0.0764182654019754,0.07643078191506289,0.07643379618100665,0.07643977250274503,0.07643149197309122,0.07642879792939553,0.07642909378690732
post_activation_grad_mean_pct,0.08539983973630699,0.1094384798637828,0.11504508803550759,0.11628011027320269,0.11434809121848086,0.11130774948648167,0.10719359778694652,0.10322351881118298,0.10140271317816939,0.09840456641011221,0.09632115438667815,0.09583523353398246,0.09576039160033148,0.09585116890313991,0.09557451376874401,0.09546693436306905,0.09543711733113315,0.09549978322255766,0.0953729163812118,0.09537439226511801,0.09544860068256399,0.09544920635190288,0.09534838677298713,0.09531155929249659,0.0954617374416728,0.09537527988397673,0.0953138914675371,0.09538827392789652,0.09541830329218688,0.09551443067415541,0.09563369184018257,0.0955034659706067,0.09550672057308861,0.09545329636036944,0.09541288359586136,0.09538748029221109,0.09541324212426314,0.09539595966295542,0.09540934356300135,0.095423834375977,0.09548422030523503,0.09547713675865674,0.09550626806151359,0.09550657089618303,0.09552583744670431,0.09552886231254044,0.09554041876199496,0.09554020642964053,0.09554226709773603,0.09554863358751081
tmp2__mean__input_weights_mean,0.024819664168748267,0.03233728143213989,0.03757857000695585,0.04087517346655566,0.042132361920621704,0.0407697543713572,0.040189571190674435,0.042312905911740216,0.04350236608381904,0.04544793227865667,0.04572395920066612,0.045738710796558425,0.04473118234804329,0.04490157507632528,0.04493493616430752,0.04518987649181237,0.04522531223980016,0.04522400777130169,0.045231334998612274,0.04520038162642243,0.04524347765750763,0.04529594782126007,0.045422592284207614,0.04550663336108797,0.045585262281432136,0.04565605051346101,0.04582184290868721,0.04582182209270053,0.045853386067166255,0.045910435747987796,0.04594643352761588,0.04595235914515682,0.04595463502636692,0.04596215653621982,0.045982583957812934,0.04595442686650015,0.04598478351373856,0.04600267832361921,0.04604721065778518,0.04609283930058285,0.046125485706355815,0.04613733694143769,0.04616314876491814,0.046194983347210665,0.04618185539827922,0.046184977796280884,0.04617947543713573,0.04618349292256453,0.046191611157368875,0.04618433250069388
tmp2__std__input_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp2__slope_ols__input_weights_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmp2__median__input_weights_mean,0.024819664168748267,0.03233728143213989,0.03757857000695585,0.04087517346655566,0.042132361920621704,0.0407697543713572,0.040189571190674435,0.042312905911740216,0.04350236608381904,0.04544793227865667,0.04572395920066612,0.045738710796558425,0.04473118234804329,0.04490157507632528,0.04493493616430752,0.04518987649181237,0.04522531223980016,0.04522400777130169,0.045231334998612274,0.04520038162642243,0.04524347765750763,0.04529594782126007,0.045422592284207614,0.04550663336108797,0.045585262281432136,0.04565605051346101,0.04582184290868721,0.04582182209270053,0.045853386067166255,0.045910435747987796,0.04594643352761588,0.04595235914515682,0.04595463502636692,0.04596215653621982,0.045982583957812934,0.04595442686650015,0.04598478351373856,0.04600267832361921,0.04604721065778518,0.04609283930058285,0.046125485706355815,0.04613733694143769,0.04616314876491814,0.046194983347210665,0.04618185539827922,0.046184977796280884,0.04617947543713573,0.04618349292256453,0.046191611157368875,0.04618433250069388
